tweet,label
«б«жбнг»н«ѕ «бћ«не еяжд б”е Ё «бябне ..,none
Џћ“ «бгж«“де ж’б б93.7 % гд «бд« ћ «бгЌбн нЏдн б”е «ёб гд 7 % ж дЁб” ж »е«нг б”е н «»Џж« «б«жбнг»н«ѕ,anger
я д« днбе Ё Ќўд« «бе»«» xD,sadness
ћгнЏд« д—нѕ  Ќёнё «еѕ«Ёд« бяд  жд”  «бё  Ён Ќ—«”е «бг—гн...,joy
«б«жбнг»н«ѕ дў«ге« гќ бЁ .. жгж«Џнѕ «бгждѕн«б гя«д ‘ гё—Ёе жб« Ќ«ће я«д  гЏёжбе,none
ѕбжё н Џдѕе« «—»Џ ”днд .... жгЌѕ‘ нёѕ— нябге« ... ”»Ќ«д «ббе,surprise
«бЌ» н”б»е« янѕе« н—ћЏе« «бн »—«Ѕ е« «б«жбн жнѕЁЏе« «бн «б–е«» »Џнѕ«р ЌнЋ б«  Џ—Ё жЌнЋ  ќ«Ё Ёен б«  ё«жгя «Ќн«д«р »б  ё«жг дЁ”е« «д  Ќ»,love
she3er: ‘жЁн »№ Џндн «гдн«  «бџб«»е ж«Ќб«г ЋбЋнд «б‘Џж» .! .  ”д«»н she3er1 .,sympathy
86:   ’ж я еж Ќ»н»н «бЋ«бЋ   »Џѕя ж»Џѕ Џнждя ~  »жЌ  џ“б,love
Џг— Џ”— « џб» жќ—ћ ж»нягб г”н—е г’— «бЁ«‘бе Ён «б«жбнг»н«ѕ,sadness
iu «не д«жне »” ќ«нЁе «б’—«Ќе гѕ—н ж‘ Ёндн,fear
Џ«бг«‘н | џѕ«.. бё«Ѕ д«ѕ— ббдћге д«ѕне бЎЁн Џбн ‘«‘е г«”»н—ж “г«д   « Ќ«ѕ «б...     —Ёне  Ёд  гж”нён,joy
н« жнб  ёб»н где н яЋ— г« «џбне жн« яЋ— г«бе Ён ќЁжён гЌ»е .. ?  г”«Ѕ  «бќн—  н,love
Џ«ћ»дн Ё‘ќ «бЏ—» «бн ѕ«ќбнд  Ќ  Џбг «б«жбнг»н«ѕ ѕжб ж ќ’ж’«р «бѕнЌ«дн «ббн ќѕ «бѕе» —г«не ё«Џѕнд нЎ»бжбе Ён Ќнд «де« г Ќ”» ‘ бЏ—»н жб« Ќ«ће,joy
": б« ёнге б“Ќ«г «б«‘ќ«’ гцд Ќжъбя° няЁня ёб» ’«ѕё°  ‘Џ— »№  «бЌх» Ён «ёж«бе ж«ЁЏ«бе° нг‘н гЏя «бЎ—нё Ќ н де«н е.! Х  я «»«  нж”ЁЕ",love
20 ”де женбЏ» «б«жбнг»н«ѕ гЏ днћн—н« г‘ “н «нЁжд« »” яжн”,none
«џ«— »ћджд жб”Џ«  џн— н  ќѕ‘  Ё«’нб «ббё«Ѕ жб«еѕжЅ «Џѕя Ќнд «—«я «д «ћгЏ «‘»«ея «б«—»Џнд Ён ”ћжд «»ѕне Ќ н б«Е,love
ях№д  дЁ”№я ..  »№дн ѕхд№н««« .. ЎЏ№г  ««дн ж Ќ№«ће  №«дне,sadness
«бгЁ—ж÷ нбџже« гд «б«жбнг»н«ѕ ждѕќб «б«”яж«‘ гя«де« «Ќ”д ??,none